jurisdiction_of_occurrence,mmwryear,mmwrweek,week_ending_date,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,Oother_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death
Arizona,2019,1,1/5/2019,1351,1224,12,260,44,61,34,86,23,27,20,314,59,0,0
Arizona,2019,2,1/12/2019,1350,1211,10,263,49,52,28,101,25,17,22,310,59,0,0
Arizona,2019,3,1/19/2019,1270,1147,10,256,46,78,27,84,24,15,28,256,70,0,0
Arizona,2019,4,1/26/2019,1253,1116,,265,36,67,33,80,19,14,18,262,53,0,0
Arizona,2019,5,2/2/2019,1217,1091,,258,57,47,25,93,17,15,15,239,74,0,0
Arizona,2019,6,2/9/2019,1204,1091,10,244,36,68,27,87,20,13,15,243,55,0,0
Arizona,2019,7,2/16/2019,1188,1079,,234,48,62,26,81,17,14,21,246,74,0,0
Arizona,2019,8,2/23/2019,1313,1165,,274,52,66,33,86,17,19,23,256,60,0,0
Arizona,2019,9,3/2/2019,1250,1122,,238,54,44,25,99,19,14,16,277,58,0,0
Arizona,2019,10,3/9/2019,1252,1119,,254,43,50,35,75,27,24,17,274,64,0,0
Arizona,2019,11,3/16/2019,1279,1155,,280,39,65,30,80,22,21,15,288,64,0,0
Arizona,2019,12,3/23/2019,1192,1057,,229,39,63,27,81,16,15,16,233,63,0,0
Arizona,2019,13,3/30/2019,1240,1114,,236,46,71,37,80,16,,18,265,63,0,0
Arizona,2019,14,4/6/2019,1254,1117,,252,47,66,32,94,15,17,19,238,69,0,0
Arizona,2019,15,4/13/2019,1325,1178,,286,51,61,21,86,16,12,14,278,82,0,0
Arizona,2019,16,4/20/2019,1167,1049,,231,45,52,19,87,25,14,15,273,46,0,0
Arizona,2019,17,4/27/2019,1176,1054,,241,45,70,18,77,23,15,19,255,56,0,0
Arizona,2019,18,5/4/2019,1160,1027,,237,61,53,16,62,16,21,24,246,54,0,0
Arizona,2019,19,5/11/2019,1191,1057,12,244,57,53,17,81,17,10,26,263,42,0,0
Arizona,2019,20,5/18/2019,1139,1003,,231,39,71,,70,15,17,22,239,44,0,0
Arizona,2019,21,5/25/2019,1122,1006,,242,48,53,11,70,22,11,22,220,44,0,0
Arizona,2019,22,6/1/2019,1168,1041,,251,39,59,18,76,22,15,12,235,58,0,0
Arizona,2019,23,6/8/2019,1074,941,,217,37,53,16,66,13,13,12,215,44,0,0
Arizona,2019,24,6/15/2019,1149,1023,,254,40,58,10,53,14,17,21,239,50,0,0
Arizona,2019,25,6/22/2019,1060,940,,199,32,52,22,68,11,19,14,239,63,0,0
Arizona,2019,26,6/29/2019,1122,973,11,249,30,53,11,66,16,,28,213,54,0,0
Arizona,2019,27,7/6/2019,1120,946,,248,39,46,11,62,15,10,20,214,39,0,0
Arizona,2019,28,7/13/2019,1165,993,10,239,39,59,11,58,17,27,18,240,51,0,0
Arizona,2019,29,7/20/2019,1144,974,,223,46,49,,61,,11,17,255,52,0,0
Arizona,2019,30,7/27/2019,1068,922,,201,51,57,10,47,19,14,22,238,47,0,0
Arizona,2019,31,8/3/2019,1085,940,,226,36,51,14,65,18,,20,216,43,0,0
Arizona,2019,32,8/10/2019,1085,937,,232,34,61,,59,18,11,23,231,39,0,0
Arizona,2019,33,8/17/2019,1071,946,,248,34,41,13,64,17,16,24,232,49,0,0
Arizona,2019,34,8/24/2019,1063,933,,243,34,52,10,66,15,18,14,204,47,0,0
